S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
1,ACLBSL,963.90,18.90,2.00,963.90,963.90,963.90,0.00,945.00
2,ADBL,245.90,4.80,1.99,245.90,245.90,245.90,0.00,241.10
3,AHPC,160.00,-2.00,-1.23,162.00,162.00,160.00,50.00,162.00
4,AKPL,165.00,-0.10,-0.06,165.00,165.00,165.00,0.00,165.10
5,ALBSL,900.00,0.00,0.00,915.00,915.00,900.00,11.00,900.00
6,ALICL,585.00,13.20,2.31,582.00,585.00,582.00,500.00,571.80
7,API,173.60,3.40,2.00,173.60,173.60,172.60,771.00,170.20
8,AVYAN,910.00,-8.90,-0.97,920.00,920.00,910.00,80.00,918.90
9,BBC,"3,774.00",74.00,2.00,"3,774.00","3,774.00","3,774.00",0.00,"3,700.00"
10,BFC,385.00,-2.00,-0.52,385.00,385.00,385.00,100.00,387.00
11,BGWT,637.00,-13.00,-2.00,637.00,637.00,637.00,10.00,650.00
12,BHPL,533.50,-10.50,-1.93,544.00,544.00,533.50,20.00,544.00
13,BNL,"16,392.00",321.00,2.00,"16,392.00","16,392.00","16,392.00",10.00,"16,071.00"
14,CBBL,852.00,0.20,0.02,868.80,868.80,852.00,80.00,851.80
15,CFCL,394.00,7.00,1.81,394.70,394.70,394.00,100.00,387.00
16,CHCL,445.00,8.00,1.83,437.00,445.70,437.00,30.00,437.00
17,CHDC,810.00,0.00,0.00,810.00,825.00,810.00,"1,420.00",810.00
18,CHL,319.90,6.20,1.98,319.90,319.90,319.90,0.00,313.70
19,CIT,"2,149.00",39.00,1.85,"2,149.00","2,149.00","2,149.00",10.00,"2,110.00"
20,CKHL,523.00,-0.90,-0.17,523.00,523.00,523.00,10.00,523.90
21,CLI,475.00,17.00,3.71,467.10,475.00,467.00,"1,680.00",458.00
22,CORBL,469.00,0.00,0.00,478.30,478.30,469.00,40.00,469.00
23,CYCL,"1,567.00",-30.00,-1.88,"1,597.00","1,600.00","1,567.00",170.00,"1,597.00"
24,CZBIL,161.10,3.10,1.96,161.10,161.10,161.10,0.00,158.00
25,DDBL,768.10,15.00,1.99,768.10,768.10,768.10,0.00,753.10
26,DHPL,200.70,3.90,1.98,200.70,200.70,200.70,0.00,196.80
27,DLBS,"1,351.00",26.00,1.96,"1,351.50","1,351.50","1,351.00",20.00,"1,325.00"
28,DORDI,407.00,4.00,0.99,407.00,407.00,407.00,10.00,403.00
29,EBL,519.00,7.00,1.37,522.20,522.20,519.00,45.00,512.00
30,EDBL,399.20,7.80,1.99,399.20,399.20,399.20,"1,293.00",391.40
31,ENL,822.00,-16.00,-1.91,822.00,822.00,822.00,10.00,838.00
32,FMDBL,672.00,1.90,0.28,670.10,672.10,670.10,300.00,670.10
33,FOWAD,"1,286.00",25.00,1.98,"1,286.20","1,286.20","1,286.00",50.00,"1,261.00"
34,GBBL,371.20,7.20,1.98,371.20,371.20,371.20,0.00,364.00
35,GBIME,179.00,3.00,1.70,179.00,179.00,178.00,500.00,176.00
36,GCIL,493.00,9.10,1.88,492.60,493.00,483.00,200.00,483.90
37,GFCL,465.90,9.10,1.99,465.90,465.90,465.90,0.00,456.80
38,GILB,"1,251.00",-2.80,-0.22,"1,251.00","1,251.00","1,251.00",20.00,"1,253.80"
39,GLH,208.00,3.00,1.46,208.00,208.00,208.00,10.00,205.00
40,GMFBS,"1,340.00",-15.00,-1.11,"1,340.00","1,340.00","1,340.00",149.00,"1,355.00"
41,GMFIL,402.50,15.50,4.01,394.70,402.50,394.70,302.00,387.00
42,GRDBL,441.60,8.60,1.99,441.60,441.60,441.60,0.00,433.00
43,GUFL,683.00,-10.00,-1.44,706.80,706.80,683.00,10.00,693.00
44,GVL,450.30,8.80,1.99,450.30,450.30,450.30,10.00,441.50
45,HATHY,848.60,16.60,2.00,848.60,848.60,848.60,0.00,832.00
46,HBL,179.10,3.50,1.99,179.10,179.10,179.10,0.00,175.60
47,HDHPC,135.00,1.60,1.20,136.00,136.00,135.00,100.00,133.40
48,HDL,"1,310.00",8.00,0.61,"1,328.00","1,328.00","1,310.00",22.00,"1,302.00"
49,HEI,614.00,7.20,1.19,618.90,618.90,614.00,550.00,606.80
50,HEIP,360.00,5.00,1.41,360.00,360.00,360.00,10.00,355.00
51,HIDCL,166.10,3.00,1.84,166.30,166.30,166.10,19.00,163.10
52,HLI,399.20,0.20,0.05,406.90,406.90,399.20,"10,900.00",399.00
53,HRL,568.00,11.40,2.05,567.70,571.20,560.00,852.00,556.60
54,HURJA,289.20,5.60,1.97,289.20,289.20,289.20,30.00,283.60
55,ICFC,521.20,10.20,2.00,521.20,521.20,521.20,0.00,511.00
56,IGI,545.00,10.00,1.87,545.70,548.00,538.00,"1,166.00",535.00
57,IHL,397.00,7.10,1.82,394.00,397.00,394.00,20.00,389.90
58,ILBS,"1,400.00",20.10,1.46,"1,400.00","1,400.00","1,400.00",510.00,"1,379.90"
59,ILI,554.00,15.00,2.78,549.70,555.00,549.70,660.00,539.00
60,JALPA,"1,600.00",12.70,0.80,"1,598.00","1,600.00","1,575.00",30.00,"1,587.30"
61,JBBL,301.80,5.90,1.99,301.80,301.80,301.80,0.00,295.90
62,JBLB,"1,500.00",30.00,2.04,"1,499.40","1,500.00","1,499.00",654.00,"1,470.00"
63,JFL,520.20,10.20,2.00,520.20,520.20,520.20,0.00,510.00
64,JOSHI,313.00,5.00,1.62,313.00,313.00,313.00,310.00,308.00
65,KBL,138.60,1.60,1.17,139.70,139.70,137.00,"1,420.00",137.00
66,KBSH,"1,080.00",20.50,1.93,"1,080.00","1,080.00","1,080.00",10.00,"1,059.50"
67,KRBL,433.50,8.50,2.00,433.50,433.50,433.50,0.00,425.00
68,KSBBL,378.00,7.00,1.89,378.40,378.40,378.00,"1,000.00",371.00
69,LBBL,379.40,7.40,1.99,379.40,379.40,379.00,"2,000.00",372.00
70,LEC,189.60,7.30,4.00,184.90,189.60,184.90,"1,060.00",182.30
71,LICN,"1,341.30",26.30,2.00,"1,341.30","1,341.30","1,341.30",0.00,"1,315.00"
72,LSL,159.00,2.00,1.27,160.10,160.10,159.00,125.00,157.00
73,MAKAR,372.00,7.00,1.92,365.00,372.00,365.00,220.00,365.00
74,MBJC,295.80,5.80,2.00,295.80,295.80,295.80,0.00,290.00
75,MBL,172.50,3.30,1.95,172.50,172.50,172.50,0.00,169.20
76,MDB,486.00,-0.60,-0.12,476.90,486.00,476.90,480.00,486.60
77,MEHL,307.80,0.00,0.00,307.80,307.80,307.80,0.00,307.80
78,MEN,552.00,8.10,1.49,554.70,554.70,552.00,400.00,543.90
79,MERO,710.00,-6.00,-0.84,701.70,710.00,701.70,351.00,716.00
80,MFIL,522.00,18.10,3.59,513.90,522.00,513.90,10.00,503.90
81,MHL,397.80,7.80,2.00,397.80,397.80,397.80,10.00,390.00
82,MKCL,890.00,-4.00,-0.45,890.00,890.00,890.00,100.00,894.00
83,MKLB,"1,158.00",-1.90,-0.16,"1,183.00","1,205.00","1,158.00",30.00,"1,159.90"
84,MLBBL,"1,377.00",27.00,2.00,"1,377.00","1,377.00","1,377.00",0.00,"1,350.00"
85,MLBL,334.50,6.50,1.98,334.50,334.50,334.50,0.00,328.00
86,MLBS,"1,440.00",22.00,1.55,"1,440.00","1,440.00","1,440.00",10.00,"1,418.00"
87,MLBSL,"1,900.00",0.00,0.00,"1,900.00","1,900.00","1,900.00",10.00,"1,900.00"
88,MNBBL,353.90,6.90,1.99,353.90,353.90,353.90,0.00,347.00
89,MPFL,444.70,8.70,2.00,444.70,444.70,444.70,10.00,436.00
90,NABBC,526.00,-10.00,-1.87,526.00,526.00,526.00,0.00,536.00
91,NABIL,439.00,8.00,1.86,439.60,439.60,435.00,"1,150.00",431.00
