S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close

1,ACLBSL,782.00,23.00,3.03,748.00,782.00,748.00,"6,200.00",759.00
2,ADBL,226.00,-4.00,-1.74,226.10,227.00,226.00,"6,537.00",230.00
3,ADBLD83,"1,035.00",-5.00,-0.48,"1,040.00","1,040.00","1,035.00",500.00,"1,040.00"
4,AHL,433.40,-8.50,-1.92,448.00,448.00,433.40,"4,780.00",441.90
5,AHPC,171.00,0.00,0.00,170.10,172.20,170.00,"9,760.00",171.00
6,AKJCL,214.00,-0.90,-0.42,215.00,215.00,212.40,"5,108.00",214.90
7,AKPL,171.50,-1.40,-0.81,172.00,174.00,170.00,"19,683.00",172.90
8,ALBSL,760.00,20.00,2.70,726.00,765.00,726.00,"14,125.00",740.00
9,ALICL,557.40,4.80,0.87,552.00,558.40,552.00,"10,208.00",552.60
10,ANLB,"2,030.00",-15.00,-0.73,"2,020.00","2,060.00","2,020.00",121.00,"2,045.00"
11,API,173.00,-2.80,-1.59,177.00,177.00,172.30,"58,179.00",175.80
12,AVYAN,701.00,23.00,3.39,672.00,707.70,672.00,"15,792.00",678.00
13,BARUN,240.30,-0.70,-0.29,237.00,243.90,237.00,640.00,241.00
14,BEDC,356.20,-5.80,-1.60,357.00,362.00,356.00,"1,650.00",362.00
15,BFC,337.20,1.20,0.36,342.00,342.00,330.00,"3,868.00",336.00
16,BGWT,593.00,-15.00,-2.47,600.00,600.00,590.30,"1,459.00",608.00
17,BHDC,458.10,-12.40,-2.64,464.00,465.00,455.70,704.00,470.50
18,BHL,347.10,-1.90,-0.54,349.00,351.90,343.00,"9,105.00",349.00
19,BHPL,472.00,-4.00,-0.84,484.00,485.00,467.20,830.00,476.00
20,BNHC,455.00,-5.00,-1.09,452.00,487.00,447.90,"5,748.00",460.00
21,BNT,"12,800.00",0.00,0.00,"12,801.50","12,801.50","12,800.00",40.00,"12,800.00"
22,BPCL,298.00,-1.10,-0.37,304.00,304.00,298.00,"2,472.00",299.10
23,CBBL,836.00,1.00,0.12,849.70,849.70,825.00,"5,145.00",835.00
24,CBLD88,"1,020.00",0.00,0.00,"1,020.00","1,020.00","1,020.00",30.00,"1,020.00"
25,CFCL,340.40,2.20,0.65,344.00,344.00,340.00,"1,868.00",338.20
26,CGH,812.00,0.50,0.06,819.00,819.00,808.50,"2,491.00",811.50
27,CHCL,450.00,-0.20,-0.04,450.00,451.00,449.00,"9,491.00",450.20
28,CHDC,885.20,-2.80,-0.32,882.00,890.00,878.30,"1,530.00",888.00
29,CHL,296.00,-4.00,-1.33,295.10,302.60,295.10,"6,461.00",300.00
30,CIT,"2,099.00",0.00,0.00,"2,099.00","2,115.00","2,091.10","2,189.00","2,099.00"
31,CITY,580.00,3.60,0.62,580.00,582.00,576.10,"2,241.00",576.40
32,CKHL,537.10,-7.90,-1.45,555.00,555.00,535.10,"4,035.00",545.00
33,CLI,451.20,1.00,0.22,450.00,454.00,448.10,"8,943.00",450.20
34,CMF1,8.86,-0.13,-1.45,8.99,8.99,8.86,"1,600.00",8.99
35,CORBL,426.00,-1.10,-0.26,435.00,435.00,423.00,"1,160.00",427.10
36,CYCL,"1,441.10",66.10,4.81,"1,347.50","1,482.00","1,321.00","24,806.00","1,375.00"
37,CZBIL,158.50,0.50,0.32,156.50,158.50,156.50,"4,527.00",158.00
38,DDBL,713.90,6.00,0.85,714.00,715.00,701.20,"2,423.00",707.90
39,DHPL,194.00,0.00,0.00,194.00,194.00,192.10,"2,457.00",194.00
40,DLBS,"1,270.00",-8.00,-0.63,"1,252.50","1,270.00","1,220.10","2,638.00","1,278.00"
41,DOLTI,431.70,-3.50,-0.80,431.60,442.40,431.60,"13,806.00",435.20
42,DORDI,420.70,-4.30,-1.01,430.00,430.00,420.00,"6,785.00",425.00
43,EBL,491.00,-3.00,-0.61,493.00,496.00,491.00,"18,528.00",494.00
44,EBLD85,"1,040.40",8.30,0.80,"1,012.10","1,040.40","1,012.10",160.00,"1,032.10"
45,EDBL,355.00,2.00,0.57,351.20,355.00,351.00,"1,184.00",353.00
46,EHPL,435.00,2.50,0.58,423.90,445.00,423.90,"1,830.00",432.50
47,ENL,760.00,-15.00,-1.94,760.00,784.90,756.70,100.00,775.00
48,FMDBL,625.00,6.10,0.99,629.90,629.90,617.00,"3,357.00",618.90
49,FOWAD,"1,120.00",25.00,2.28,"1,110.00","1,121.00","1,080.00","3,725.00","1,095.00"
50,GBBD85,955.10,-15.90,-1.64,955.10,955.10,955.10,25.00,971.00
51,GBBL,357.10,-3.00,-0.83,360.00,360.00,357.10,"8,861.00",360.10
52,GBIME,180.40,-1.00,-0.55,181.00,181.00,180.00,"15,963.00",181.40
53,GBLBS,657.00,12.00,1.86,645.00,660.00,645.00,"10,937.00",645.00
54,GCIL,496.10,-0.90,-0.18,487.10,504.00,487.10,"12,148.00",497.00
55,GFCL,446.10,-1.90,-0.42,448.00,455.50,446.10,"2,949.00",448.00
56,GHL,148.80,-1.20,-0.80,151.90,151.90,148.00,"19,662.00",150.00
57,GIBF1,8.22,0.00,0.00,8.13,8.22,8.13,905.00,8.22
58,GILB,"1,006.90",35.80,3.69,970.00,"1,010.00",970.00,"7,464.00",971.10
59,GLBSL,"1,830.00",33.20,1.85,"1,760.90","1,871.00","1,760.90","2,753.00","1,796.80"
60,GLH,213.30,-2.50,-1.16,219.00,219.00,212.00,"5,890.00",215.80
61,GMFBS,"1,180.00",18.10,1.56,"1,185.00","1,208.00","1,147.00","1,611.00","1,161.90"
62,GMFIL,364.90,10.90,3.08,358.00,368.20,350.00,"1,123.00",354.00
63,GRDBL,364.90,1.40,0.39,370.00,370.00,360.00,361.00,363.50
64,GUFL,855.00,-14.90,-1.71,853.00,912.00,846.00,"123,681.00",869.90
65,GVL,419.00,-0.90,-0.21,412.10,420.00,412.10,710.00,419.90
66,H8020,8.84,0.03,0.34,8.80,8.84,8.66,"1,200.00",8.81
67,HATHY,887.00,-3.00,-0.34,875.10,898.90,875.10,"8,608.00",890.00
68,HBL,184.80,0.20,0.11,184.30,186.00,183.00,"14,535.00",184.60
69,HDHPC,132.70,-0.40,-0.30,135.00,135.00,132.40,"16,168.00",133.10
70,HDL,"1,490.00",8.00,0.54,"1,506.00","1,506.00","1,485.00","4,918.00","1,482.00"
71,HEI,570.90,7.90,1.40,554.00,570.90,553.30,"3,872.00",563.00
72,HEIP,340.70,-6.90,-1.99,340.70,340.70,340.70,40.00,347.60
73,HHL,357.00,-5.50,-1.52,362.50,363.00,355.00,"15,976.00",362.50
74,HIDCL,166.20,-0.80,-0.48,165.50,168.50,165.50,"8,154.00",167.00
75,HIDCLP,100.50,-0.50,-0.50,100.10,101.20,100.00,313.00,101.00
76,HLBSL,749.00,21.00,2.88,741.90,756.00,729.00,"5,784.00",728.00
77,HLI,392.00,-1.00,-0.25,391.40,395.00,391.00,"11,763.00",393.00
78,HPPL,269.30,-0.70,-0.26,272.00,274.00,266.60,"17,932.00",270.00
79,HRL,594.00,-1.00,-0.17,595.00,596.50,593.00,"27,532.00",595.00
80,HURJA,295.00,-5.00,-1.67,297.00,300.80,294.00,"13,180.00",300.00
81,ICFC,495.00,1.00,0.20,495.00,500.00,495.00,"5,957.00",494.00
82,IGI,522.90,-2.10,-0.40,526.00,529.00,519.20,"17,691.00",525.00
83,IHL,372.00,1.90,0.51,369.00,374.90,368.50,"6,885.00",370.10
84,ILBS,950.00,25.10,2.71,906.50,950.00,906.00,"11,254.00",924.90
85,ILI,527.00,3.00,0.57,521.00,530.00,521.00,"8,292.00",524.00
86,JALPA,"1,209.00",34.00,2.89,"1,175.00","1,283.00","1,160.00","1,649.00","1,175.00"
87,JBBL,289.00,1.30,0.45,287.00,291.90,287.00,"5,141.00",287.70
88,JBLB,"1,345.00",8.00,0.60,"1,356.90","1,356.90","1,335.00","3,097.00","1,337.00"
89,JFL,387.90,5.90,1.54,388.90,388.90,381.20,"3,263.00",382.00
90,JOSHI,332.00,-0.80,-0.24,339.40,339.40,328.30,"14,870.00",332.80
91,JSLBB,"1,095.00",0.00,0.00,"1,095.00","1,114.00","1,070.00","2,562.00","1,095.00"
92,KBL,136.00,-0.80,-0.58,139.50,139.50,135.20,"23,969.00",136.80
93,KBLPO,106.00,0.00,0.00,106.00,106.00,106.00,"31,946.00",106.00
94,KBSH,"1,009.00",10.00,1.00,"1,001.00","1,021.00","1,001.00",155.00,999.00
95,KDBY,8.92,0.09,1.02,8.83,9.00,8.83,"5,800.00",8.83
96,KDL,781.00,-3.00,-0.38,781.00,790.00,780.00,685.00,784.00
97,KEF,8.00,-0.20,-2.44,8.04,8.04,7.91,"1,600.00",8.20
98,KKHC,230.50,-4.50,-1.91,231.10,237.50,230.50,"1,231.00",235.00
99,KLBSL,906.00,16.00,1.80,906.00,906.00,888.00,568.00,890.00
100,KMCDB,819.00,39.00,5.00,790.00,819.00,790.00,"6,179.00",780.00
101,KPCL,405.00,2.30,0.57,400.00,405.00,397.50,"1,076.00",402.70
102,KRBL,397.80,4.80,1.22,400.00,400.00,393.00,"3,231.00",393.00
103,KSBBL,348.40,-0.50,-0.14,354.00,354.00,348.20,"4,026.00",348.90
104,LBBL,370.00,-3.00,-0.80,380.00,380.00,370.00,"4,292.00",373.00
105,LEC,178.80,-2.50,-1.38,179.80,183.00,178.80,"10,465.00",181.30
106,LICN,"1,343.10",3.10,0.23,"1,340.00","1,343.10","1,340.00",160.00,"1,340.00"
107,LLBS,934.00,74.00,8.60,875.00,935.80,873.00,"8,236.00",860.00
108,LSL,155.00,-0.50,-0.32,155.10,156.00,154.10,"19,275.00",155.50
109,LUK,8.31,0.01,0.12,8.15,8.47,8.15,"6,400.00",8.30
110,LVF2,7.93,0.14,1.80,7.80,7.93,7.80,500.00,7.79
111,MAKAR,388.40,-1.60,-0.41,386.10,392.00,386.00,"1,140.00",390.00
112,MANDU,685.50,-7.50,-1.08,693.00,693.00,675.00,"1,810.00",693.00
113,MBJC,305.40,-3.60,-1.17,310.00,311.20,305.00,"5,511.00",309.00
114,MBL,171.20,-1.90,-1.10,173.00,174.00,171.20,"17,424.00",173.10
115,MBLD87,935.00,-8.50,-0.90,935.00,935.00,935.00,25.00,943.50
116,MCHL,352.10,-0.90,-0.25,349.10,364.00,349.10,"3,777.00",353.00
117,MDB,424.30,0.30,0.07,429.00,429.00,424.10,"5,236.00",424.00
118,MEHL,305.00,-3.40,-1.10,313.00,313.00,300.60,"23,126.00",308.40
119,MEL,219.10,-4.60,-2.06,220.00,224.00,217.60,"16,061.00",223.70
120,MEN,506.00,1.00,0.20,505.10,514.50,505.00,"28,843.00",505.00
121,MERO,652.00,12.00,1.88,650.00,654.00,632.10,"8,327.00",640.00
122,MFIL,498.00,-6.00,-1.19,504.50,504.50,486.10,"28,182.00",504.00
123,MHCL,420.70,2.20,0.53,420.00,423.00,419.00,"3,725.00",418.50
124,MHL,409.10,2.40,0.59,405.00,417.70,405.00,"6,867.00",406.70
125,MHNL,236.00,-2.00,-0.84,242.70,242.70,235.00,925.00,238.00
126,MKCL,951.10,-9.90,-1.03,980.20,980.20,950.00,"2,894.00",961.00
127,MKHC,324.10,-0.40,-0.12,318.30,328.00,318.30,"9,460.00",324.50
128,MKHL,428.00,-5.00,-1.15,424.40,440.80,424.40,"18,307.00",433.00
129,MKJC,453.00,-2.00,-0.44,460.00,478.50,452.10,296.00,455.00
130,MKLB,949.00,86.20,9.99,879.90,949.00,862.80,"11,053.00",862.80
131,MLBBL,"1,005.00",47.10,4.92,969.00,"1,005.00",969.00,"7,415.00",957.90
132,MLBL,316.00,-2.00,-0.63,321.00,321.00,315.20,"1,786.00",318.00
133,MLBS,"1,097.80",99.80,10.00,"1,017.90","1,097.80","1,017.90","10,495.00",998.00
134,MLBSL,"1,708.00",-2.00,-0.12,"1,740.00","1,740.00","1,708.00",309.00,"1,710.00"
135,MMF1,7.05,-0.03,-0.42,6.94,7.17,6.94,"5,100.00",7.08
136,MMKJL,413.40,-0.60,-0.14,408.30,420.00,408.30,"4,059.00",414.00
137,MNBBL,337.10,-0.90,-0.27,338.00,340.00,336.20,"5,852.00",338.00
138,MPFL,365.00,7.00,1.96,360.00,365.50,360.00,"4,785.00",358.00
139,MSHL,610.00,0.00,0.00,603.00,614.80,603.00,179.00,610.00
